Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
11/08/2019,16:30,Matchweek 1,Sun,Home,W,4,0,Chelsea,2.2,1,46,"73,620",David de Gea,4-2-3-1,Anthony Taylor,Match Report,
19/08/2019,20:00,Matchweek 2,Mon,Away,D,1,1,Wolves,1.2,0.3,65,"31,314",David de Gea,4-2-3-1,Jonathan Moss,Match Report,
24/08/2019,15:00,Matchweek 3,Sat,Home,L,1,2,Crystal Palace,2.5,1.1,71,"73,454",David de Gea,4-2-3-1,Paul Tierney,Match Report,
31/08/2019,12:30,Matchweek 4,Sat,Away,D,1,1,Southampton,1.5,0.9,59,"30,499",Ashley Young,4-2-3-1,Mike Dean,Match Report,
14/09/2019,15:00,Matchweek 5,Sat,Home,W,1,0,Leicester City,1.2,0.6,42,"73,689",Ashley Young,4-2-3-1,Martin Atkinson,Match Report,
22/09/2019,14:00,Matchweek 6,Sun,Away,L,0,2,West Ham,0.9,0.4,53,"59,936",Ashley Young,4-2-3-1,Anthony Taylor,Match Report,
30/09/2019,20:00,Matchweek 7,Mon,Home,D,1,1,Arsenal,0.9,1.9,55,"73,201",Ashley Young,4-2-3-1,Kevin Friend,Match Report,
06/10/2019,16:30,Matchweek 8,Sun,Away,L,0,1,Newcastle Utd,0.9,0.8,68,"51,198",Ashley Young,4-2-3-1,Mike Dean,Match Report,
20/10/2019,16:30,Matchweek 9,Sun,Home,D,1,1,Liverpool,0.7,1.2,34,"73,737",Ashley Young,3-4-1-2,Martin Atkinson,Match Report,
27/10/2019,16:30,Matchweek 10,Sun,Away,W,3,1,Norwich City,4.2,1,54,"27,108",Ashley Young,4-2-3-1,Stuart Attwell,Match Report,
02/11/2019,12:30,Matchweek 11,Sat,Away,L,0,1,Bournemouth,0.8,1.9,57,"10,669",Ashley Young,4-2-3-1,Chris Kavanagh,Match Report,
10/11/2019,14:00,Matchweek 12,Sun,Home,W,3,1,Brighton,3.6,0.8,42,"73,556",Harry Maguire,4-2-3-1,Jonathan Moss,Match Report,
